ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_Clean
978-0-315-09839-8,Secured local instruction set,Dr Justin Oliver,Reference,1953,8,2018-01-24,Checked Out,978-0-315-09839-8
978-0-10-310518-5,Universal zero administration analyzer,Dr Vanessa Parker,Non-Fiction,2001,7,2018-11-10,Missing,978-0-10-310518-5
978-1-7382997-3-7,Robust discrete data-warehouse,Dr Bethan Jones,Reference,1957,9,2019-01-20,Damaged,978-1-7382997-3-7
978-1-311-65667-4,Cross-platform 5thgeneration support,Leonard Smith,Young Adult,2002,0,2022-05-08,Checked Out,978-1-311-65667-4
978-0-06-513338-7,Decentralized value-added throughput,Mr Elliot Skinner,Reference,2005,5,2023-07-17,Checked Out,978-0-06-513338-7
978-0-624-73178-8,Advanced didactic secured line,Karen Johnson-Smith,Reference,1977,9,2023-11-13,Reserved,978-0-624-73178-8
978-0-8013-2677-6,Profound contextually-based matrices,Glenn Clark-Young,Young Adult,1958,6,2018-06-23,Reserved,978-0-8013-2677-6
978-1-02-606474-0,Upgradable client-driven application,Hannah Adams,Young Adult,2017,2,2020-11-12,Available,978-1-02-606474-0
978-1-234-30980-0,Object-based executive Internet solution,Jeremy Glover-Harding,Fiction,1951,3,2025-10-25,Damaged,978-1-234-30980-0
978-0-09-788208-6,Phased multimedia utilization,Frederick Edwards,Fiction,1952,7,2022-12-03,Available,978-0-09-788208-6
978-0-19-136193-7,Persistent multi-tasking neural-net,Derek Stone,Non-Fiction,2012,8,2021-07-02,Available,978-0-19-136193-7
978-0-699-85435-1,Triple-buffered uniform matrix,Antony Hall,Reference,2015,6,2022-04-22,Damaged,978-0-699-85435-1
978-1-62475-107-3,Configurable bandwidth-monitored frame,Mr Bernard Bell,Reference,1978,2,2022-07-06,Available,978-1-62475-107-3
9780838425138,Implemented intangible architecture,Stewart Collier,Young Adult,1954,9,2020-04-01,Missing,9780838425138
978-1-278-49808-9,Triple-buffered context-sensitive website,Frances Edwards,Non-Fiction,1984,8,2024-07-11,Reserved,978-1-278-49808-9
9780241182444,Cross-platform 3rdgeneration monitoring,Mr Joseph Carter,Reference,1969,10,2023-03-15,Damaged,9780241182444
9781348740162,Object-based hybrid model,Dr Mathew Page,Young Adult,1988,8,2026-04-28,Damaged,9781348740162
978-0-05-242786-4,Re-engineered multi-tasking framework,Julie Brown,Young Adult,1972,9,2018-05-15,Damaged,978-0-05-242786-4
978-0-12-805982-1,Networked full-range approach,Geoffrey Turner,Children,1957,7,2025-04-12,Reserved,978-0-12-805982-1
9780045053315,Devolved empowering attitude,Abigail Mitchell,Children,1993,6,2016-11-20,Reserved,9780045053315
9781923226029,Organic incremental hub,Mr Nathan Stevens,Young Adult,1967,6,2018-04-10,Damaged,9781923226029
978-1-342-16073-7,Re-contextualized executive policy,Dr Marion Manning,Young Adult,1996,10,2023-08-13,Reserved,978-1-342-16073-7
978-1-5433-0365-0,Self-enabling web-enabled open system,Mrs Lauren Powell,Fiction,2015,2,2024-05-12,Missing,978-1-5433-0365-0
978-0-458-68501-1,Self-enabling systemic open system,Naomi Jones,Fiction,2007,9,2019-07-04,Reserved,978-0-458-68501-1
978-0-940196-55-1,Intuitive demand-driven model,Dr Andrea Rees,Young Adult,2011,9,2023-06-11,Reserved,978-0-940196-55-1
978-0-693-40608-2,Re-contextualized local installation,Roy Wyatt,Fiction,1955,3,2025-12-29,Reserved,978-0-693-40608-2
978-1-61595-148-2,Exclusive full-range framework,Shaun Ahmed,Children,1966,2,2017-03-06,Available,978-1-61595-148-2
978-1-56482-366-3,Grass-roots uniform emulation,Mr Kyle Cox,Non-Fiction,2005,2,2025-11-03,Damaged,978-1-56482-366-3
978-1-68044-369-1,Profound responsive core,Derek Doherty,Reference,1978,0,2024-11-05,Checked Out,978-1-68044-369-1
978-1-77387-214-8,Re-engineered optimizing structure,Dr Adrian Robinson,Non-Fiction,1999,10,2017-02-27,Reserved,978-1-77387-214-8
978-0-343-32003-4,Business-focused 5thgeneration model,Dr Gerard Preston,Children,1971,5,2019-08-13,Damaged,978-0-343-32003-4
978-0-7693-6763-7,Vision-oriented 4thgeneration conglomeration,Jane Stewart-Price,Non-Fiction,1980,0,2018-08-24,Missing,978-0-7693-6763-7
978-0-16-328708-1,Universal eco-centric contingency,Grace Wood,Fiction,2009,4,2018-09-03,Available,978-0-16-328708-1
978-0-7278-8957-7,Expanded exuding productivity,Denise Farmer,Young Adult,1979,5,2025-05-04,Available,978-0-7278-8957-7
978-1-277-43487-3,Organic bottom-line website,Mitchell Sutton,Young Adult,2015,5,2025-03-17,Checked Out,978-1-277-43487-3
978-1-71434-558-8,Object-based cohesive archive,Dr Damian Butler,Non-Fiction,1984,7,2025-10-07,Damaged,978-1-71434-558-8
978-0-236-23166-9,Upgradable upward-trending frame,Steven Hunt-Graham,Young Adult,1997,1,2018-04-09,Checked Out,978-0-236-23166-9
978-1-60366-909-2,Automated bi-directional methodology,Mandy Norman,Children,2021,3,2021-11-30,Damaged,978-1-60366-909-2
978-1-05-466889-7,Devolved attitude-oriented strategy,Mrs Marilyn Perkins,Reference,1953,0,2026-05-05,Reserved,978-1-05-466889-7
978-1-346-70656-6,Upgradable mobile software,Rhys Smith,Non-Fiction,2001,6,2018-09-29,Missing,978-1-346-70656-6
978-1-298-06990-0,Grass-roots systemic approach,Ashley Fox,Non-Fiction,1974,2,2024-08-29,Damaged,978-1-298-06990-0
978-1-272-04653-8,Secured intangible standardization,Elliott Newton,Young Adult,1979,3,2022-08-07,Reserved,978-1-272-04653-8
978-1-56464-170-0,Object-based composite matrices,Valerie Dodd,Non-Fiction,1969,8,2017-01-04,Reserved,978-1-56464-170-0
978-1-310-03309-4,Optimized foreground solution,Leigh Williams,Young Adult,1970,8,2021-07-27,Checked Out,978-1-310-03309-4
978-0-271-93745-8,Diverse zero administration data-warehouse,Conor Patel,Young Adult,1967,3,2024-01-02,Damaged,978-0-271-93745-8
978-0-241-90496-1,Persistent bandwidth-monitored service-desk,Benjamin Williamson,Non-Fiction,1973,5,2022-04-01,Missing,978-0-241-90496-1
978-0-19-314919-9,Re-engineered content-based solution,Josh Greenwood,Non-Fiction,1963,0,2021-06-03,Checked Out,978-0-19-314919-9
978-1-86518-506-4,Up-sized value-added matrices,Charlene Taylor,Non-Fiction,2010,0,2026-04-20,Available,978-1-86518-506-4
978-0-657-26284-6,Sharable 24/7 ability,Chloe Willis,Reference,2024,4,2022-04-09,Checked Out,978-0-657-26284-6
978-1-69453-147-6,Optimized zero-defect complexity,Ashley Rogers-Akhtar,Non-Fiction,1982,0,2021-07-21,Checked Out,978-1-69453-147-6
978-1-996507-52-0,Implemented dedicated ability,Christopher Lloyd-Kaur,Young Adult,1951,4,2021-07-03,Checked Out,978-1-996507-52-0
978-0-545-49480-9,Versatile 6thgeneration instruction set,Dr Phillip Sutton,Non-Fiction,1979,3,2019-11-25,Available,978-0-545-49480-9
978-0-367-83777-8,Re-contextualized fault-tolerant support,Samuel Slater,Reference,2015,3,2025-01-18,Missing,978-0-367-83777-8
978-0-436-34957-7,Operative needs-based project,Derek Foster-Lewis,Children,1996,6,2023-06-19,Available,978-0-436-34957-7
978-1-85574-443-1,Robust tertiary core,Craig Bailey-Atkinson,Non-Fiction,1996,10,2017-11-27,Damaged,978-1-85574-443-1
978-0-518-23374-9,Multi-tiered neutral initiative,Damian Payne,Reference,1951,4,2023-05-07,Damaged,978-0-518-23374-9
978-0-343-52408-1,Phased high-level hub,Duncan Hill-Fitzgerald,Non-Fiction,2006,1,2019-05-14,Missing,978-0-343-52408-1
978-1-00-842710-5,Polarized tertiary solution,Miss Bethany Burgess,Reference,1997,10,2017-12-05,Available,978-1-00-842710-5
978-1-77520-471-8,User-friendly intangible forecast,Julie Walker,Young Adult,2003,9,2017-08-11,Damaged,978-1-77520-471-8
978-1-71902-294-1,De-engineered coherent conglomeration,Dr Sheila Brown,Reference,1952,10,2017-04-03,Damaged,978-1-71902-294-1
978-0-18-699938-1,Diverse intangible infrastructure,Alice Marshall-Patel,Children,1997,5,2024-02-06,Reserved,978-0-18-699938-1
978-1-74964-990-3,Re-engineered even-keeled functionalities,Dr Megan Gibson,Children,1968,1,2024-03-13,Reserved,978-1-74964-990-3
978-0-341-23281-0,Distributed stable interface,Ms Anne Mann,Young Adult,2019,3,2019-01-11,Damaged,978-0-341-23281-0
978-0-679-74034-6,Organic interactive ability,Ashleigh Wyatt,Reference,1970,6,2023-04-20,Reserved,978-0-679-74034-6
978-1-134-93618-2,Profit-focused analyzing matrices,Emma Parker,Fiction,1991,3,2019-01-17,Checked Out,978-1-134-93618-2
978-0-421-02499-1,Progressive zero administration structure,Declan Reed,Young Adult,1975,10,2019-03-23,Missing,978-0-421-02499-1
978-1-174-64887-8,Self-enabling logistical projection,Trevor Anderson,Young Adult,2016,8,2024-11-15,Reserved,978-1-174-64887-8
978-0-906594-01-8,Seamless mission-critical portal,Lydia Wong,Reference,1976,4,2024-04-23,Checked Out,978-0-906594-01-8
978-0-490-27874-5,Sharable directional system engine,Mr Adrian Lowe,Reference,2021,3,2023-09-28,Missing,978-0-490-27874-5
978-1-71756-551-8,Progressive local interface,Douglas Kelly,Fiction,1978,9,2023-09-11,Damaged,978-1-71756-551-8
9781674680712,Open-architected multi-state paradigm,Mr Kyle Lewis,Reference,2009,10,2026-02-03,Missing,9781674680712
978-1-5168-0876-2,Expanded next generation success,Mrs Paige Stone,Non-Fiction,1977,1,2023-12-04,Reserved,978-1-5168-0876-2
978-0-85977-034-7,Fully-configurable full-range alliance,Elliott Gibbs,Fiction,1980,2,2023-08-09,Available,978-0-85977-034-7
978-1-77109-324-8,Seamless disintermediate matrices,Duncan Barnes,Reference,2015,5,2022-10-24,Missing,978-1-77109-324-8
978-1-131-71274-1,Devolved bifurcated paradigm,Elliot Payne,Young Adult,1994,5,2025-12-01,Available,978-1-131-71274-1
978-1-77378-263-8,Function-based radical initiative,Charlene Chapman,Fiction,1966,5,2018-08-01,Available,978-1-77378-263-8
978-0-465-84044-1,Implemented context-sensitive policy,Dr Matthew Henderson,Young Adult,2005,6,2021-02-17,Missing,978-0-465-84044-1
978-0-7875-5886-4,Up-sized coherent installation,Guy Williams,Young Adult,1954,6,2021-11-03,Damaged,978-0-7875-5886-4
978-1-339-63605-4,Centralized local initiative,Julian Cox,Non-Fiction,1988,7,2020-12-08,Damaged,978-1-339-63605-4
978-1-62702-895-0,Vision-oriented national installation,Albert Ellis,Young Adult,1961,4,2023-07-05,Missing,978-1-62702-895-0
978-1-187-02621-2,Polarized asynchronous monitoring,Katy Thomas,Reference,2018,6,2023-01-06,Checked Out,978-1-187-02621-2
978-1-59615-865-8,Organic empowering Internet solution,Mitchell Lawrence,Non-Fiction,2021,9,2018-10-09,Reserved,978-1-59615-865-8
978-0-913431-61-0,Automated high-level data-warehouse,Norman White-King,Reference,1961,0,2018-01-27,Checked Out,978-0-913431-61-0
978-1-240-05045-1,Function-based client-driven info-mediaries,Jacqueline Ellis,Reference,1992,2,2018-11-29,Reserved,978-1-240-05045-1
978-1-238-69222-9,Grass-roots next generation solution,Frederick Kay,Non-Fiction,2010,6,2019-12-31,Checked Out,978-1-238-69222-9
978-1-937923-74-7,Progressive national focus group,Mr Mohammad Wilkinson,Non-Fiction,1963,5,2020-08-01,Reserved,978-1-937923-74-7
978-1-07-482175-3,Object-based attitude-oriented data-warehouse,Leah Hodgson,Reference,2001,3,2020-06-30,Damaged,978-1-07-482175-3
978-1-4743-6713-4,Multi-lateral methodical contingency,Joan Ahmed-Martin,Children,1976,9,2022-01-01,Damaged,978-1-4743-6713-4
978-1-944064-09-9,Phased well-modulated circuit,Dr Mohamed Harrison,Non-Fiction,1982,9,2019-09-22,Reserved,978-1-944064-09-9
978-1-4395-3394-9,Advanced maximized challenge,Declan Goddard,Reference,1986,0,2024-12-06,Checked Out,978-1-4395-3394-9
978-0-04-709521-4,Profound secondary structure,Edward Whittaker-Wong,Reference,2022,5,2016-07-30,Reserved,978-0-04-709521-4
978-1-62328-588-3,Reduced regional workforce,Conor Rowe,Children,2003,5,2025-06-28,Damaged,978-1-62328-588-3
978-0-474-51712-9,Total non-volatile complexity,Dr Brandon Roberts,Children,1975,1,2026-05-21,Damaged,978-0-474-51712-9
978-1-85160-481-4,Team-oriented 3rdgeneration Graphic Interface,Wendy Richards,Fiction,2015,7,2019-08-08,Checked Out,978-1-85160-481-4
978-1-4965-1370-0,Versatile maximized synergy,Debra Atkinson,Fiction,1956,2,2021-05-16,Available,978-1-4965-1370-0
978-0-17-461200-1,Future-proofed directional forecast,Dr Terence Chambers,Fiction,1968,7,2024-11-26,Checked Out,978-0-17-461200-1
978-1-113-82675-6,Secured non-volatile infrastructure,Emma Jones,Young Adult,1998,3,2023-09-17,Checked Out,978-1-113-82675-6
978-0-617-96405-6,Re-engineered real-time productivity,Julian Sanders,Children,1999,10,2018-02-07,Damaged,978-0-617-96405-6
9781735158501,Total interactive function,Dr Tom Cunningham,Non-Fiction,1973,2,2026-05-25,Checked Out,9781735158501
978-1-317-13900-3,Front-line disintermediate alliance,Anne Hughes,Children,2014,7,2017-11-08,Reserved,978-1-317-13900-3
978-0-293-18393-2,Vision-oriented high-level support,Jenna Gray,Reference,1977,9,2024-07-18,Available,978-0-293-18393-2
978-1-290-42284-0,Seamless methodical task-force,Charlie Faulkner-Smith,Young Adult,2000,0,2021-11-14,Available,978-1-290-42284-0
9780020539506,Automated foreground benchmark,Eleanor Smith-Naylor,Reference,1965,0,2022-12-27,Missing,9780020539506
978-1-02-681177-1,Synergistic 24/7 budgetary management,Mrs Ann Carter,Fiction,1988,8,2025-05-09,Missing,978-1-02-681177-1
978-0-7839-0847-2,Proactive global ability,Laura Ahmed,Young Adult,2000,0,2025-01-30,Damaged,978-0-7839-0847-2
978-0-7661-7711-6,Secured systemic artificial intelligence,Miss Jasmine Young,Non-Fiction,1969,6,2019-12-17,Reserved,978-0-7661-7711-6
978-0-12-499856-8,Re-contextualized directional paradigm,Jason Taylor,Children,2007,8,2025-02-28,Missing,978-0-12-499856-8
978-1-896118-36-9,Function-based foreground help-desk,Miss Katie Kelly,Non-Fiction,2010,8,2017-10-07,Reserved,978-1-896118-36-9
978-0-657-66156-4,Innovative value-added monitoring,Dean White,Reference,1996,10,2017-05-02,Reserved,978-0-657-66156-4
978-1-5271-1116-5,Secured zero-defect orchestration,Christian Lynch,Fiction,2011,6,2025-08-05,Available,978-1-5271-1116-5
978-1-280-98851-6,Open-architected non-volatile policy,Kelly Cross,Reference,1952,9,2018-11-18,Checked Out,978-1-280-98851-6
978-1-60494-519-5,Configurable foreground Internet solution,Ben Fox,Young Adult,1962,6,2016-11-28,Reserved,978-1-60494-519-5
978-0-7315-8514-4,Advanced grid-enabled support,Tom Miller,Children,2021,1,2022-06-22,Available,978-0-7315-8514-4
978-1-899809-40-0,Triple-buffered asymmetric access,Dr Stuart Ali,Children,1994,7,2017-08-13,Checked Out,978-1-899809-40-0
978-1-4550-2296-0,Cloned client-driven model,Dr Jacob Thomas,Children,2003,6,2024-07-25,Missing,978-1-4550-2296-0
978-0-01-836675-6,Stand-alone bifurcated architecture,Neil Robinson,Children,1982,7,2023-05-14,Checked Out,978-0-01-836675-6
978-1-4599-1022-5,Re-engineered radical emulation,Mr Joshua White,Non-Fiction,2019,7,2017-10-26,Missing,978-1-4599-1022-5
978-0-476-79764-2,Organic multi-state paradigm,Gregory Gregory,Fiction,1991,2,2020-06-17,Missing,978-0-476-79764-2
978-0-561-49784-6,Profit-focused object-oriented encoding,Sian Birch,Reference,1953,10,2019-05-14,Reserved,978-0-561-49784-6
978-0-690-03432-5,Multi-lateral client-server archive,Antony Parker,Young Adult,2005,5,2020-04-30,Available,978-0-690-03432-5
978-1-5107-6226-8,Business-focused next generation core,Alexander Tyler-Burrows,Reference,1974,7,2020-07-30,Missing,978-1-5107-6226-8
978-1-160-60715-5,Fundamental tangible superstructure,Edward Reid,Children,2007,7,2021-10-11,Available,978-1-160-60715-5
978-1-64160-529-8,Operative fresh-thinking firmware,Martyn Townsend,Reference,2017,8,2026-03-25,Missing,978-1-64160-529-8
978-1-161-36968-7,Future-proofed 24/7 policy,Mr Abdul Curtis,Non-Fiction,2006,4,2024-10-17,Checked Out,978-1-161-36968-7
978-1-4535-2181-6,Multi-channeled fault-tolerant knowledgebase,Dorothy Welch,Children,1995,0,2025-07-17,Missing,978-1-4535-2181-6
978-1-5231-2432-9,Stand-alone actuating software,Miss Kathryn Murphy,Young Adult,2015,5,2021-10-16,Missing,978-1-5231-2432-9
978-0-277-99799-9,Automated global initiative,Ms Jade Day,Non-Fiction,2014,0,2024-05-09,Damaged,978-0-277-99799-9
978-1-271-77449-4,Upgradable actuating hub,Mrs Eileen Brooks,Non-Fiction,1991,0,2019-08-01,Checked Out,978-1-271-77449-4
978-1-81477-005-1,Self-enabling hybrid benchmark,Mrs Sophie Khan,Non-Fiction,1955,8,2025-05-23,Missing,978-1-81477-005-1
978-0-19-986798-1,Vision-oriented systematic time-frame,Jamie Bell-Barnett,Reference,1999,4,2020-06-10,Damaged,978-0-19-986798-1
978-1-935978-20-6,Multi-layered homogeneous Internet solution,Mr Jeremy Day,Reference,1971,4,2019-12-26,Checked Out,978-1-935978-20-6
978-0-518-20377-3,Ameliorated multimedia hierarchy,Christian Booth,Children,1979,5,2020-10-11,Reserved,978-0-518-20377-3
978-1-5466-5905-1,Pre-emptive national orchestration,Jenna Allen,Reference,2001,9,2026-03-03,Reserved,978-1-5466-5905-1
978-1-186-44925-8,Reduced bandwidth-monitored portal,June Phillips-Hall,Non-Fiction,1964,2,2025-04-05,Available,978-1-186-44925-8
978-0-546-29148-3,Reverse-engineered 6thgeneration strategy,Maureen Taylor,Children,1999,0,2017-04-27,Checked Out,978-0-546-29148-3
978-1-281-68505-6,Visionary zero-defect open system,Gordon Mann-Brown,Reference,2007,1,2017-09-28,Available,978-1-281-68505-6
978-0-357-33221-4,Devolved logistical interface,Dr Frederick Hammond,Reference,2019,0,2024-02-20,Checked Out,978-0-357-33221-4
978-0-88805-929-1,Integrated contextually-based extranet,Victor Wilson,Children,1989,6,2017-04-20,Missing,978-0-88805-929-1
978-0-229-27065-1,Compatible responsive paradigm,Emily Williams,Children,1998,6,2020-08-29,Available,978-0-229-27065-1
978-1-947383-47-0,Synergistic client-driven encoding,Eric Lucas,Children,1957,3,2022-10-27,Damaged,978-1-947383-47-0
978-1-9774-6886-4,Reactive bi-directional toolset,Catherine Bailey,Young Adult,1983,7,2025-07-23,Reserved,978-1-9774-6886-4
978-0-924075-81-0,Public-key dynamic attitude,Sheila Stewart-Smith,Young Adult,2005,9,2021-11-01,Available,978-0-924075-81-0
978-1-124-78261-4,Visionary 24/7 database,Lorraine Brennan-Chapman,Fiction,2004,1,2025-04-26,Checked Out,978-1-124-78261-4
9781506068534,Profound leadingedge firmware,Martin Roberts,Non-Fiction,1964,5,2020-08-30,Available,9781506068534
9780530515229,Open-architected neutral infrastructure,Mrs Lydia Hayward,Non-Fiction,2023,10,2025-09-12,Damaged,9780530515229
978-1-72779-010-8,Balanced 5thgeneration application,Jeremy Walker-Allen,Children,1994,8,2019-12-29,Damaged,978-1-72779-010-8
978-0-289-86143-1,Total web-enabled data-warehouse,Kevin Mills,Reference,1958,10,2024-10-25,Missing,978-0-289-86143-1
978-0-03-697117-8,Business-focused background functionalities,Natalie Richardson-Scott,Fiction,1955,4,2023-12-17,Available,978-0-03-697117-8
978-0-246-09539-8,Managed logistical moratorium,Heather Woods,Children,2016,9,2026-02-09,Checked Out,978-0-246-09539-8
978-0-18-518888-5,Persevering regional structure,Dr Dylan Bennett,Non-Fiction,1977,5,2025-09-10,Checked Out,978-0-18-518888-5
978-1-70654-051-9,Horizontal multi-tasking model,Mr Kyle Davies,Reference,2003,10,2024-12-04,Damaged,978-1-70654-051-9
978-0-19-520585-5,Customizable explicit flexibility,Dr Joanne Gregory,Fiction,1962,3,2023-01-28,Missing,978-0-19-520585-5
978-1-72217-043-1,Mandatory eco-centric budgetary management,Jordan Fowler,Children,1990,0,2025-03-04,Available,978-1-72217-043-1
978-0-05-486874-0,Open-source high-level instruction set,Mr Joe Dickinson,Non-Fiction,1993,7,2021-11-10,Checked Out,978-0-05-486874-0
978-0-450-54156-8,Multi-lateral explicit toolset,Miss Elaine Hobbs,Reference,1951,1,2022-11-01,Available,978-0-450-54156-8
978-1-65277-584-3,Open-architected directional methodology,Dr Phillip Williams,Fiction,1973,4,2022-07-17,Reserved,978-1-65277-584-3
978-1-169-28451-7,Multi-channeled regional policy,Chloe Adams,Young Adult,1962,8,2019-04-02,Available,978-1-169-28451-7
978-1-4479-6275-5,Vision-oriented clear-thinking emulation,Mr Allan Farrell,Children,2021,0,2020-04-22,Damaged,978-1-4479-6275-5
978-0-596-40165-8,Future-proofed multimedia function,Brandon Dean,Fiction,1987,9,2022-12-23,Missing,978-0-596-40165-8
978-0-297-02135-3,Cross-platform fault-tolerant info-mediaries,Harriet Lewis,Reference,1964,3,2020-07-14,Damaged,978-0-297-02135-3
978-1-909275-57-7,Universal full-range monitoring,Lydia Patel,Children,1954,5,2018-07-24,Reserved,978-1-909275-57-7
978-0-85654-310-4,Cross-group stable hierarchy,Vanessa Ryan,Fiction,2023,1,2023-04-10,Missing,978-0-85654-310-4
978-1-86814-473-0,Exclusive grid-enabled Internet solution,Michelle Harding,Non-Fiction,2023,6,2025-06-18,Missing,978-1-86814-473-0
978-1-312-17271-5,Diverse mobile middleware,Jenna Kay-Parkes,Young Adult,1960,8,2026-04-11,Damaged,978-1-312-17271-5
978-1-188-44225-7,Re-engineered zero tolerance core,Graham Morris,Young Adult,1959,7,2018-10-05,Available,978-1-188-44225-7
978-0-323-70589-9,Secured value-added budgetary management,Karl Wallis,Reference,1951,10,2023-06-27,Reserved,978-0-323-70589-9
978-1-82911-467-3,Open-source next generation complexity,Debra Bishop,Reference,1968,9,2019-11-28,Checked Out,978-1-82911-467-3
9781912517787,Programmable encompassing protocol,Elizabeth Stevens,Non-Fiction,2021,5,2023-07-19,Available,9781912517787
978-0-89226-801-6,Intuitive tangible software,Louis Rogers,Young Adult,1962,9,2021-10-09,Damaged,978-0-89226-801-6
978-1-225-35841-1,Integrated local focus group,Kimberley Chapman,Fiction,1969,9,2021-04-06,Checked Out,978-1-225-35841-1
978-0-8424-9818-0,Re-engineered responsive instruction set,June Ward,Non-Fiction,1967,1,2019-11-29,Checked Out,978-0-8424-9818-0
9780299590017,Pre-emptive optimizing orchestration,Mr Alex Harvey,Children,2023,5,2025-06-24,Checked Out,9780299590017
978-1-396-90784-5,User-centric explicit firmware,Maria Harvey,Non-Fiction,1955,9,2021-07-22,Reserved,978-1-396-90784-5
978-1-364-71027-9,Right-sized foreground firmware,Miss Lisa Grant,Fiction,1956,3,2025-12-27,Damaged,978-1-364-71027-9
978-1-7359255-5-4,De-engineered explicit benchmark,Ms Molly Hayward,Fiction,2010,7,2018-11-12,Reserved,978-1-7359255-5-4
978-0-588-15371-8,Reactive eco-centric ability,Shirley Brady,Reference,2021,5,2017-05-14,Damaged,978-0-588-15371-8
978-1-321-04696-0,Organized actuating projection,Karl Smith,Non-Fiction,2007,4,2025-08-06,Missing,978-1-321-04696-0
978-0-595-32787-4,Innovative fault-tolerant Graphic Interface,Lesley Hughes,Fiction,1999,6,2026-02-06,Available,978-0-595-32787-4
978-1-70168-733-2,Enhanced 3rdgeneration attitude,Dr Karl Osborne,Fiction,1973,6,2019-04-04,Checked Out,978-1-70168-733-2
978-0-04-797480-9,Synergistic bi-directional implementation,Kieran Turner,Fiction,1979,0,2020-01-02,Damaged,978-0-04-797480-9
978-1-245-65060-1,Phased discrete core,Phillip Bowen,Reference,1997,1,2021-09-03,Damaged,978-1-245-65060-1
9781841687841,Adaptive uniform process improvement,Caroline Phillips,Children,2012,10,2022-10-15,Available,9781841687841
978-0-16-558523-9,Profit-focused asymmetric access,Paul Jones,Non-Fiction,1964,1,2022-03-27,Missing,978-0-16-558523-9
978-0-00-257872-1,Polarized secondary benchmark,Kieran Cooke,Young Adult,1956,10,2017-07-06,Available,978-0-00-257872-1
978-1-952694-95-0,Reduced heuristic attitude,Eileen Baxter-Riley,Reference,1960,1,2019-10-07,Checked Out,978-1-952694-95-0
978-1-70551-694-2,Vision-oriented content-based moratorium,Kenneth Cooper,Non-Fiction,1978,3,2016-11-09,Available,978-1-70551-694-2
978-1-4993-0972-0,Persistent context-sensitive policy,Dr Lisa Brady,Non-Fiction,1991,5,2021-09-02,Missing,978-1-4993-0972-0
978-0-309-13075-2,Public-key eco-centric encoding,Garry Young,Reference,2013,9,2020-04-27,Checked Out,978-0-309-13075-2
978-0-636-89702-1,Quality-focused fault-tolerant moderator,Joan Edwards,Fiction,2004,2,2026-04-15,Checked Out,978-0-636-89702-1
978-1-78652-785-1,Streamlined 3rdgeneration policy,Andrew Murphy,Fiction,1986,10,2016-09-01,Reserved,978-1-78652-785-1
978-1-9733-4843-6,Integrated uniform info-mediaries,Hayley Cook-Smith,Reference,2005,8,2023-02-15,Missing,978-1-9733-4843-6
978-1-375-75844-4,Multi-tiered static ability,Eleanor Edwards-Harvey,Reference,1963,0,2022-08-07,Missing,978-1-375-75844-4
