transaction_id,member_id,isbn,checkout_date,return_date,branch_id
TXN000042,M24322,978-1-304-51957-3,01/03/2026,2026-03-15,BR009
TXN000043,M34050,978-0-227-75213-5,2024-07-15,2024-07-30,BR014
TXN000044,M82132,978-0-7698-7622-1,2025-08-30,,BR014
TXN000045,M22224,978-1-218-94559-8,2025-09-24,2025-10-10,BR003
TXN000046,M38016,978-0-920530-21-4,2025-09-25,2025-10-08,BR003
TXN000047,M44760,978-1-320-43192-7,2026-03-04,2026-03-28,BR005
TXN000048,M82845,978-1-185-17696-4,2024-12-05,2024-12-12,BR003
TXN000049,M17665,978-1-68808-482-7,2026-02-22,2026-02-24,BR001
TXN000050,M16572,978-1-4575-2754-8,2025-06-18,2025-06-24,BR015
TXN000051,M17455,978-0-11-799313-6,2025-01-22,2025-02-11,BR014
TXN000052,M18907,978-1-5025-4472-8,2025-12-05,2026-01-03,BR007
TXN000053,M84668,978-0-9574454-0-6,2025-04-20,2025-05-04,BR001
TXN000054,M96163,978-1-261-51070-5,2024-10-26,2024-11-02,BR006
TXN000055,M97782,978-1-897917-76-3,2026-01-14,2026-02-05,BR005
TXN000056,M94607,978-1-356-74809-9,2025-07-28,2025-07-31,BR015
TXN000057,M11220,978-1-56731-370-3,2025-01-27,,BR002
TXN000058,M37938,978-0-7766-5586-4,2026-03-05,2026-03-08,BR015
TXN000059,M42018,978-0-8343-7401-0,2024-11-18,2024-12-11,BR008
TXN000060,M49651,978-0-200-81001-2,2026-04-02,2026-04-20,BR001
TXN000061,M49240,978-1-5398-4028-2,2024-07-18,2024-07-22,BR015
TXN000062,M24029,978-1-5481-3866-0,09/20/2025,2025-09-27,BR005
TXN000063,M54942,978-1-75225-920-5,08/02/2025,2025-08-31,BR009
TXN000064,M16658,978-0-8113-6403-4,2024-07-19,2024-07-20,BR014
TXN000065,M53719,978-1-190-17222-7,06/03/2025,2025-06-21,BR003
TXN000066,M66057,978-1-70900-633-3,2024-07-23,2024-08-15,BR002
TXN000067,M29536,978-0-479-47199-0,2024-07-17,2024-07-31,BR010
TXN000068,M26704,,2025-04-13,2025-05-09,  BR006 
TXN000069,M15229,978-0-432-23023-7,2026-01-13,2026-01-17,BR011
TXN000070,M56357,978-1-59476-121-8,2025-03-12,2025-04-11,BR010
TXN000071,M41029,978-0-564-09951-1,2025-01-07,2025-01-13,BR015
TXN000072,M53540,978-1-5099-9863-0,2025-03-10,2025-04-03,BR013
TXN000073,,978-1-58777-496-6,2026-02-13,2026-03-13,BR007
TXN000074,M71694,978-1-392-22931-6,18/01/2026,2026-02-13,BR006
TXN000075,M39831,978-1-76832-102-6,2025-05-13,2025-06-10,BR007
TXN000076,M19099,978-1-120-94477-1,2025-01-28,2025-02-10,BR006
TXN000077,M99065,978-1-63097-739-9,2025-12-02,2025-12-06,BR006
TXN000078,M44237,978-1-4196-2342-4,2026-05-24,2026-06-07,BR001
TXN000079,M55309,978-1-948534-00-0,2024-12-01,2024-12-18,BR007
TXN000080,M25157,978-0-00-997844-9,2024-10-09,2024-11-01,BR004
TXN000081,M67154,,2024-08-27,2024-09-18,BR015
TXN000082,M97900,978-1-66518-378-9,2025-06-09,2025-07-09,BR002
TXN000083,M53279,978-0-18-954738-1,2026-02-18,2026-03-07,BR012
TXN000084,M50538,978-1-5336-9524-6,2026-02-19,2026-03-09,BR007
TXN000085,M26683,978-0-19-558979-5,2025-10-06,2025-10-12,BR011
TXN000086,M90676,978-0-234-77146-4,2024-08-07,2024-08-17,BR009
TXN000087,M47606,978-1-59624-384-2,2026-03-08,2026-03-23,BR010
TXN000088,M67905,978-1-898803-15-7,2025-03-12,2025-04-10,BR009
TXN000089,M32241,978-1-70866-656-9,2024-10-27,2024-11-16,BR009
TXN000090,M53933,978-1-923613-37-9,2025-06-12,2025-07-08,BR011
TXN000091,M36100,978-1-80072-290-3,2026-05-31,2026-06-20,  BR004 
TXN000092,M19545,978-0-650-53477-3,2026-06-17,2026-06-30,BR004
TXN000093,M74799,978-1-4058-0935-1,2026-05-30,2026-06-28,BR011
TXN000094,M23970,978-0-925081-77-3,2025-11-12,2025-12-05,BR003
TXN000095,M77889,978-1-58924-418-4,2026-03-24,2026-03-28,BR004
TXN000096,M69829,978-1-76042-939-3,2025-08-01,2025-08-19,BR011
TXN000097,M88047,978-1-996736-72-2,2026-04-23,2026-05-22,BR010
TXN000098,M76162,978-1-83171-511-0,2026-01-23,2026-02-16,BR008
TXN000099,M72216,978-1-300-67762-8,2025-12-29,2026-01-23,BR014
TXN000100,M78327,978-0-493-53400-8,2025-01-04,2025-01-27,BR005
TXN000101,M47450,978-1-4743-7019-6,2026-05-13,2026-05-16,BR006
TXN000102,M28136,978-1-964416-03-8,2026-03-08,2026-03-15,BR012
TXN000103,M18418,978-1-256-50460-3,2025-10-08,2025-10-10,BR009
TXN000104,M37110,978-0-03-927888-5,2025-10-09,2025-11-01,BR015
TXN000105,M12560,978-0-16-028595-0,2025-07-26,2025-08-07,  BR007 
TXN000106,M49139,978-1-85713-399-8,2025-11-17,2025-12-05,BR009
TXN000107,M89069,978-0-85592-562-8,12/03/2025,2025-12-19,BR004
TXN000108,M13804,978-1-285-89868-1,2026-04-04,2026-04-19,BR012
TXN000109,M26728,978-1-219-40504-6,2024-08-26,2024-09-14,BR001
TXN000110,M83975,978-1-82756-704-4,2024-10-29,2024-11-26,BR011
TXN000111,M70515,978-1-345-66311-2,2025-03-25,2025-04-09,BR007
TXN000112,M52840,978-0-19-558979-5,15/07/2024,2024-08-11,BR005
TXN000113,M65255,978-1-5273-5435-7,2025-02-07,,BR008
TXN000114,M80702,978-1-4555-3706-8,2026-04-04,2026-04-29,BR004
TXN000115,M95426,,2024-08-12,2024-08-19,BR001
TXN000116,M12671,978-1-5231-1232-6,2026-06-17,2026-06-21,BR003
TXN000117,M83920,978-1-109-72472-1,2025-11-10,2025-11-22,BR012
TXN000118,M31992,978-1-01-692364-4,2026-01-20,2026-01-30,BR013
TXN000119,M24168,978-0-607-56999-5,2026-05-05,2026-05-18,BR010
TXN000120,M61990,978-0-622-07223-4,2024-09-30,2024-10-27,BR002
TXN000121,M92213,978-0-7411-6806-1,09/11/2024,2024-10-07,BR014
TXN000122,M25866,978-1-55761-867-2,05/21/2025,,BR013
TXN000123,M79827,978-1-59289-748-3,2025-11-25,2025-12-06,BR002
TXN000124,M11658,978-0-7653-2448-1,2025-07-12,2025-07-24,BR002
TXN000125,M93307,978-0-87830-568-1,2024-06-30,2024-07-06,BR012
TXN000126,M78386,978-1-256-22219-4,2025-07-23,2025-08-10,BR010
TXN000127,M73372,978-0-450-81464-8,2024-09-07,2024-09-15,BR005
TXN000128,M21359,978-1-933686-09-7,2026-06-19,2026-07-08,BR004
TXN000129,M89997,978-0-311-67870-9,2025-10-25,2025-11-05,BR001
TXN000130,M33834,978-0-524-83196-0,2025-05-27,2025-06-05,BR013
TXN000131,M88139,978-1-271-74306-3,2025-04-29,,BR009
TXN000132,M35042,978-1-59476-121-8,09/05/2025,2025-05-17,BR008
TXN000133,M72402,978-1-00-593241-1,2024-12-17,2024-12-20,BR008
TXN000134,M48566,978-0-7232-4728-9,2025-03-25,2025-04-06,BR005
TXN000135,M72031,978-0-317-26652-8,2024-08-31,2024-09-18,BR007
TXN000136,M53357,978-0-565-13358-0,2024-10-19,2024-10-27,BR005
TXN000137,M25814,978-0-570-17036-5,2025-05-01,2025-05-26,BR002
TXN000138,M34267,978-1-182-35327-6,2024-11-24,2024-12-19,BR005
TXN000139,M78765,978-0-544-92683-7,2025-10-20,2025-10-28,BR014
TXN000140,M57301,978-0-617-96405-6,21/09/2024,2024-09-30,BR012
TXN000141,M15965,978-1-988380-37-7,2024-07-09,2024-07-14,BR005
TXN000142,M93606,978-0-527-62520-7,2026-01-10,2026-01-29,BR002
TXN000143,,978-1-264-39330-5,2026-05-15,2026-05-17,BR006
TXN000144,M43092,978-1-939416-67-4,2025-07-25,2025-08-07,BR002
TXN000145,M74454,978-0-07-501102-6,2025-07-19,2025-08-07,BR003
TXN000146,M49824,978-0-9964260-3-9,2025-05-12,2025-05-26,BR002
TXN000147,M89471,978-1-68172-257-3,2025-05-02,2025-05-17,BR013
TXN000148,M68028,978-0-87472-913-9,2025-12-21,2026-01-10,BR007
TXN000149,M17894,978-0-255-21376-9,2025-02-09,2025-02-16,BR013
TXN000150,M44687,978-0-11-212590-7,2025-01-28,2025-01-31,BR004
TXN000151,M30517,,2026-04-08,2026-04-24,BR008
TXN000152,M48175,,2025-03-12,2025-04-04,BR005
TXN000153,M69510,978-0-236-91496-8,2025-09-16,2025-10-12,BR015
TXN000154,M91927,978-0-364-28131-4,2025-02-12,2025-02-20,BR007
TXN000155,M94886,978-0-429-48314-1,2025-08-05,2025-08-07,BR014
TXN000156,M31747,978-1-370-39190-5,2025-03-02,2025-04-01,BR012
TXN000157,M47828,978-1-67751-387-1,2025-10-07,2025-10-20,BR012
TXN000158,M45683,978-1-898735-87-8,2025-01-29,,BR008
TXN000159,M15224,978-0-7791-5244-5,2024-11-12,2024-11-15,BR010
TXN000160,M40005,978-0-07-086117-6,2024-11-03,2024-11-28,BR010
TXN000161,M98117,978-1-4332-9457-0,2025-05-31,2025-06-06,BR001
TXN000162,M71669,978-0-647-92149-4,2026-05-07,2026-05-26,BR015
TXN000163,M67132,978-0-05-075508-2,2025-07-28,2025-08-11,BR002
TXN000164,M53687,978-0-498-72839-6,2026-03-02,2026-03-16,BR014
TXN000165,M74942,978-0-08-292482-1,10/10/2025,2025-10-12,BR014
TXN000166,M69614,978-0-545-08095-8,2025-06-24,2025-07-19,BR006
TXN000167,M62976,978-1-72423-884-9,17/06/2025,2025-07-02,BR011
TXN000168,M64165,978-1-70499-096-5,2026-01-01,2026-01-17,BR006
TXN000169,M91973,978-1-226-98485-5,2025-11-09,2025-11-14,BR004
TXN000170,,978-0-929427-02-7,22/08/2025,,BR002
TXN000171,M92578,978-0-677-84816-7,2024-09-02,2024-09-20,BR012
TXN000172,M11792,978-1-77242-954-1,2025-09-30,2025-10-30,BR004
TXN000173,M24871,978-0-665-52899-6,2025-04-07,2025-04-23,BR011
TXN000174,,978-0-598-44514-8,2024-12-11,2024-12-27,BR007
TXN000175,M41946,978-0-371-99051-3,2024-10-25,2024-11-14,BR007
TXN000176,M76616,978-1-185-79064-1,2025-10-31,,BR014
TXN000177,M64387,978-1-56707-190-0,29/12/2024,2025-01-08,BR005
TXN000178,M49132,978-0-444-94199-2,2025-06-16,2025-06-21,BR011
TXN000179,M68529,978-1-311-05833-1,2026-02-25,2026-03-15,BR006
TXN000180,M59441,978-0-18-366771-9,2024-09-10,2024-10-03,BR014
TXN000181,M41300,978-0-287-94296-5,2025-11-06,2025-11-08,BR014
TXN000182,M51704,978-0-7110-7351-7,2024-07-12,2024-08-07,BR007
TXN000183,M95461,978-1-246-38151-1,2025-09-22,2025-10-11,BR001
TXN000184,M53515,978-0-07-622821-8,02/12/2025,2025-12-17,BR002
TXN000185,M12011,978-1-152-07710-2,2026-06-06,2026-06-11,BR014
TXN000186,M19807,978-0-19-185488-0,2025-11-08,2025-11-21,BR006
TXN000187,,978-0-16-793014-3,2026-02-01,2026-02-19,BR014
TXN000188,M59808,978-1-4666-6948-2,2026-02-12,2026-03-04,BR014
TXN000189,M18968,978-0-00-416910-1,2025-03-13,2025-03-27,BR004
TXN000190,M22903,978-0-544-92683-7,2026-06-27,2026-07-07,BR008
TXN000191,M13794,,2024-09-09,,BR013
TXN000192,M56984,978-0-14-837537-6,2025-09-18,2025-10-07,BR004
TXN000193,M99364,978-0-902822-70-2,2025-04-03,,BR003
TXN000194,M60140,978-1-108-14356-1,30/10/2025,2025-11-04,BR008
TXN000195,M40433,978-0-214-25731-5,2025-12-21,2025-12-22,BR008
TXN000196,M70981,978-0-642-66331-3,2024-10-10,,BR003
TXN000197,,978-0-06-773067-6,2024-08-11,2024-09-03,BR011
TXN000198,M42780,978-1-01-204242-4,2025-02-09,2025-03-09,BR004
TXN000199,M73335,978-1-220-68243-6,2026-04-26,2026-05-06,BR010
TXN000200,M48696,,2024-10-18,2024-10-27,BR014
TXN000201,M11061,978-0-7530-0119-6,2025-12-06,2025-12-22,  BR015 
TXN000202,M47512,978-1-62347-124-8,2025-05-01,2025-05-09,  BR010 
TXN000203,M93442,978-1-70805-685-8,2025-11-25,2025-12-20,BR011
TXN000204,M96400,978-0-563-21358-1,03/21/2025,,BR011
TXN000205,M92242,978-1-9795-3192-4,2026-06-05,2026-06-24,BR013
TXN000206,M57823,978-0-334-91141-8,2025-09-17,2025-10-11,BR015
TXN000207,M64460,978-1-5164-8072-2,2025-11-27,2025-12-09,BR013
TXN000208,M79579,978-1-299-94664-4,2025-11-13,2025-12-13,BR014
TXN000209,M73156,978-1-72925-435-6,2025-10-02,2025-10-28,BR012
TXN000210,M25095,978-0-329-02278-5,2024-12-15,2024-12-23,BR003
TXN000211,M98647,978-1-925529-05-0,2026-02-07,2026-02-19,BR014
TXN000212,M21836,978-1-113-82675-6,07/04/2025,2025-07-19,BR005
TXN000213,M58311,978-1-5461-9924-3,2025-01-28,2025-02-18,BR010
TXN000214,M58689,978-0-419-61560-6,2025-04-13,,BR008
TXN000215,M83584,978-1-4308-6042-6,2026-05-06,2026-05-27,BR004
TXN000216,M70852,978-0-690-91237-1,22/06/2026,2026-06-27,BR011
TXN000217,M15943,978-1-4224-0592-5,2026-02-16,2026-02-24,BR008
TXN000218,M80457,978-1-203-51919-3,2025-11-11,2025-12-05,BR006
TXN000219,M80804,978-1-352-28705-9,2026-04-25,2026-04-29,BR015
TXN000220,M74139,978-1-4986-4786-1,2026-01-17,2026-01-24,BR001
TXN000221,M68115,978-1-360-51171-9,2025-05-13,2025-06-04,BR014
TXN000222,M58147,978-0-435-09476-8,2025-08-04,2025-08-11,BR001
TXN000223,M26011,978-0-306-10922-5,2026-01-09,2026-01-30,BR002
TXN000224,M93819,978-1-169-28451-7,2024-09-01,2024-09-09,BR001
TXN000225,M26505,978-0-00-730950-4,2025-12-08,2025-12-26,BR002
TXN000226,M37152,978-0-17-088948-3,2025-12-15,2026-01-10,BR006
TXN000227,M88116,,2025-04-16,2025-04-21,BR014
TXN000228,M80807,978-0-16-597263-3,2025-10-26,2025-10-27,BR002
TXN000229,M27275,,2026-01-29,2026-02-17,BR013
TXN000230,M52437,,2024-11-18,,BR005
TXN000231,M65176,978-0-87234-601-7,2026-06-09,2026-06-21,BR008
TXN000232,M77271,978-0-7958-1877-6,2025-08-24,2025-09-13,BR009
TXN000233,M15683,978-1-272-99043-5,2024-08-11,2024-08-12,BR005
TXN000234,M17972,978-0-8091-6631-2,2026-05-19,2026-06-04,BR007
TXN000235,M68138,978-0-324-87632-1,10/10/2025,2025-10-13,  BR006 
TXN000236,M26540,978-0-523-24342-9,2024-12-04,2024-12-17,BR009
TXN000237,M88301,978-1-203-51919-3,2026-05-11,2026-05-15,BR009
TXN000238,M24996,978-0-8223-3125-4,2025-01-16,2025-01-30,BR012
TXN000239,M69186,978-1-948053-16-7,18/08/2025,2025-08-31,BR006
TXN000240,M64524,978-1-298-42410-5,2025-04-23,2025-05-02,BR007
TXN000241,M59060,978-0-7895-2361-7,2025-02-20,,BR002
TXN000242,M21188,978-1-179-45491-7,2025-07-20,2025-08-15,BR012
TXN000243,M27054,978-0-7137-9987-3,18/11/2025,2025-12-10,BR009
TXN000244,M26021,978-1-4545-9566-3,2026-05-12,2026-05-14,BR014
TXN000245,M47700,978-0-651-73281-9,2025-06-29,2025-07-06,BR002
TXN000246,M30280,978-1-227-58548-8,2025-09-22,2025-10-20,BR014
TXN000247,M82910,978-1-72210-454-2,2026-05-02,2026-05-16,BR010
TXN000248,M83526,978-0-7951-1812-8,2026-06-06,2026-06-28,BR001
TXN000249,M45054,,2024-12-28,2025-01-07,BR005
TXN000250,M54541,978-1-86270-369-8,06/21/2025,2025-07-13,BR014
TXN000251,,978-0-9845461-5-2,2025-01-31,2025-02-07,BR002
TXN000252,M59308,978-0-261-70505-0,2025-11-24,2025-12-18,BR003
TXN000253,M52517,978-0-87183-410-2,2024-09-06,,BR010
TXN000254,M16895,978-1-296-59027-7,2025-05-06,,BR011
TXN000255,M68079,978-0-422-00722-1,2025-04-09,2025-04-18,BR010
TXN000256,M38255,978-1-9734-7156-1,2024-09-06,2024-09-16,BR006
TXN000257,M98895,978-1-185-17696-4,2025-07-27,2025-07-29,BR009
TXN000258,M38903,978-1-169-84366-0,2025-12-26,,BR001
TXN000259,M49507,978-1-314-41583-4,2024-12-23,2025-01-03,BR013
TXN000260,M25726,,2025-09-24,2025-09-29,BR012
TXN000261,M59834,978-1-62347-124-8,25/01/2025,2025-02-16,BR009
TXN000262,M56421,978-0-292-18515-9,2025-02-05,,BR007
TXN000263,M20205,978-0-16-028595-0,2025-09-13,2025-10-06,BR007
TXN000264,M93904,978-0-19-524364-2,2024-11-23,,BR007
TXN000265,M52568,978-0-8269-9345-8,2025-04-11,2025-04-23,BR014
TXN000266,M21551,978-0-9907676-9-5,2024-12-19,2025-01-01,BR004
TXN000267,,978-1-4133-9547-1,2025-02-05,2025-02-16,BR012
TXN000268,M32037,978-1-61498-282-1,2025-06-18,2025-07-17,BR009
TXN000269,M55793,978-0-87181-335-0,2025-09-14,2025-09-23,BR004
TXN000270,M35856,978-1-68044-731-6,05/25/2026,2026-05-28,BR013
TXN000271,M33218,978-1-09-398663-1,2024-11-02,2024-11-27,BR008
TXN000272,M85952,978-1-5418-2771-4,2026-03-12,2026-04-01,BR011
TXN000273,M52363,978-0-569-48045-1,2024-09-14,2024-09-30,BR003
TXN000274,M67961,978-0-358-96933-4,2025-11-03,,BR010
TXN000275,M76497,978-0-11-570347-8,2025-08-13,,BR008
TXN000276,M58331,978-0-7787-9565-0,2025-09-03,2025-10-01,BR011
TXN000277,M21835,978-1-956783-23-0,2025-08-10,2025-08-28,BR007
TXN000278,M15376,978-1-58068-179-7,2025-03-11,2025-03-31,BR011
TXN000279,M72341,978-1-111-78006-7,2025-07-19,2025-08-17,BR008
TXN000280,M55015,978-1-4025-4729-4,2024-10-20,2024-10-22,BR009
TXN000281,,978-1-85861-888-3,2024-10-10,2024-10-16,BR009
TXN000282,M57696,978-0-283-82710-5,2025-06-13,2025-06-24,BR007
TXN000283,M98984,978-1-217-42922-8,2024-11-27,2024-12-15,BR002
TXN000284,M98916,978-1-76947-576-6,2024-09-12,2024-10-12,BR012
TXN000285,M88997,978-1-01-652761-3,2026-05-06,2026-05-11,BR002
TXN000286,M55851,978-0-7417-9965-4,2025-03-03,2025-03-06,BR003
TXN000287,M50577,978-0-481-40984-4,2024-09-08,2024-10-01,BR014
TXN000288,M99838,978-0-17-342069-0,2025-11-02,2025-11-19,BR011
TXN000289,M57425,,2026-05-26,2026-06-02,BR005
TXN000290,M54791,978-1-284-70344-3,2025-08-13,2025-08-18,BR004
TXN000291,M30308,978-0-7702-8519-7,2025-06-04,2025-07-01,BR009
TXN000292,M79013,,2026-06-18,2026-07-08,BR006
TXN000293,M27176,978-0-644-85959-2,2024-12-09,2025-01-01,BR003
TXN000294,M91885,978-1-180-51371-9,2024-07-05,2024-07-19,BR012
TXN000295,M57749,978-1-4625-9160-2,2026-02-02,2026-02-27,BR008
TXN000296,M68841,978-0-493-53400-8,2025-09-28,2025-10-24,BR005
TXN000297,M71474,978-1-60605-603-5,2026-06-12,2026-07-01,  BR006 
TXN000298,M67749,978-1-66075-699-5,24/12/2025,2026-01-10,BR013
TXN000299,M64874,978-0-284-00838-1,2025-01-06,2025-02-03,BR013
TXN000300,M42768,978-1-4845-6771-5,2026-06-21,2026-07-21,BR014
TXN000301,M23446,978-0-943032-50-4,2025-05-06,2025-05-09,BR014
TXN000302,M31012,978-1-64347-608-7,2025-12-04,2025-12-07,BR003
TXN000303,M39102,978-0-86625-108-2,2026-03-13,,BR015
TXN000304,,978-1-85573-952-9,2024-10-02,2024-10-05,BR004
TXN000305,M59140,978-1-121-90518-4,2025-04-19,,BR015
TXN000306,M95191,978-0-07-044964-0,2025-09-19,,BR003
TXN000307,M71925,978-1-940128-97-9,12/07/2025,2025-07-27,BR013
TXN000308,M90654,,2025-02-27,,  BR002 
TXN000309,M38266,978-1-79656-400-6,2026-01-08,2026-01-22,BR012
TXN000310,M24573,978-0-241-15848-7,2025-04-27,2025-05-05,BR005
TXN000311,M65027,978-0-7856-8176-2,2024-11-07,2024-12-06,BR002
TXN000312,M75513,978-1-4599-1022-5,2025-06-13,2025-06-21,BR011
TXN000313,M28818,978-0-18-451462-3,2024-08-21,2024-09-09,BR010
TXN000314,M64600,978-0-662-99123-6,2024-09-14,2024-09-17,BR009
TXN000315,M78951,978-1-203-73448-0,2025-03-28,,BR009
TXN000316,M71621,,2025-10-23,2025-11-01,BR007
TXN000317,M12128,978-0-559-04259-1,2025-10-02,2025-10-24,BR006
TXN000318,M92346,978-1-79631-994-1,2025-02-02,2025-02-07,BR012
TXN000319,M15811,978-0-518-40703-4,01/06/2025,2025-02-02,BR014
TXN000320,M99742,978-0-87569-269-2,2025-05-28,2025-06-02,BR011
TXN000321,M18270,978-1-70765-094-1,2025-12-02,2025-12-04,BR001
TXN000322,,978-0-944238-60-8,2026-03-01,2026-03-14,BR015
TXN000323,M81176,978-1-5001-7012-7,2024-07-05,2024-07-15,BR013
TXN000324,M56789,978-1-66676-008-8,2024-07-16,2024-07-25,BR014
TXN000325,M26315,978-1-05-993423-2,2026-02-08,2026-02-23,BR015
TXN000326,M60678,978-0-660-44324-9,2025-05-17,2025-05-29,BR008
TXN000327,M78062,978-0-7731-8063-5,2025-11-11,2025-11-25,BR012
TXN000328,M88964,978-1-964967-37-0,2025-11-30,2025-12-04,BR009
TXN000329,M20494,978-0-499-29009-0,2026-05-29,2026-06-21,BR005
TXN000330,M65851,978-0-405-37729-7,2025-06-19,2025-07-13,BR006
TXN000331,M56210,978-1-08-197140-3,05/02/2025,2025-05-28,BR005
TXN000332,M17518,978-0-935555-70-7,2025-07-25,2025-08-18,BR006
TXN000333,M99051,978-1-890250-39-3,2025-07-13,2025-08-04,BR003
TXN000334,M67432,,2024-09-22,2024-10-13,BR002
TXN000335,M58015,978-1-86360-253-2,08/02/2025,2025-08-24,BR001
TXN000336,M68972,978-0-536-49911-0,2024-12-29,2025-01-17,BR008
TXN000337,M28047,978-0-10-448177-6,2024-11-07,2024-11-15,BR006
TXN000338,M24869,,2025-05-14,2025-05-27,BR003
TXN000339,M83619,978-1-03-423622-1,2025-06-27,2025-07-17,BR012
TXN000340,M47431,978-0-267-01167-4,2026-01-16,2026-02-13,BR004
TXN000341,M19706,978-1-101-02760-8,2024-11-20,2024-12-18,BR002
TXN000342,M51889,978-1-186-38782-6,2025-09-16,2025-10-15,BR009
TXN000343,M49315,978-0-7455-5347-4,2025-07-30,2025-08-07,BR013
TXN000344,M25907,978-0-251-22572-8,2025-10-08,2025-10-09,BR004
TXN000345,M57303,978-1-65699-313-7,2026-03-30,2026-04-17,BR008
TXN000346,M27009,978-0-01-471959-4,2024-10-01,2024-10-24,BR002
TXN000347,M72739,978-0-16-647951-3,2025-01-03,2025-01-08,BR014
TXN000348,M51553,978-1-65314-513-3,2024-09-30,2024-10-12,BR008
TXN000349,M26821,978-0-8223-3125-4,2026-02-23,2026-03-20,BR011
TXN000350,M26912,978-0-8099-6930-2,02/07/2026,2026-02-12,BR014
TXN000351,M49862,978-1-372-63199-3,2025-07-30,2025-08-11,BR015
TXN000352,M78012,978-0-01-194707-5,2024-09-24,2024-10-12,BR005
TXN000353,M45972,978-1-9773-8546-8,2026-03-29,2026-04-15,BR010
TXN000354,M94015,978-1-60150-434-0,10/27/2025,2025-11-16,BR003
TXN000355,M89316,978-0-86549-660-6,2026-04-04,2026-04-05,BR001
TXN000356,M20646,,2026-02-09,2026-02-18,BR011
TXN000357,M95344,978-1-4878-9048-3,2025-02-11,2025-02-12,BR007
TXN000358,M75278,978-1-947800-79-3,2025-06-21,2025-07-01,BR005
TXN000359,,978-0-234-77146-4,2025-11-23,2025-12-16,BR005
TXN000360,M17852,978-0-7700-4535-7,2025-03-14,2025-03-25,BR008
TXN000361,M89516,978-0-675-78968-4,2025-04-23,2025-05-05,BR012
TXN000362,M62260,978-1-59289-748-3,2026-02-10,2026-02-21,BR009
TXN000363,M41685,978-1-57202-665-0,2024-09-10,2024-09-14,BR008
TXN000364,M16632,978-1-79232-671-4,2025-10-14,2025-10-22,BR014
